122986,0,18:20:34,2015-11-14,::1,,,
138550,0,20:21:13,2015-11-13,::1,,,
520487,0,08:56:53,2015-11-12,202.40.211.116,,,
739747,0,17:29:43,2015-11-14,::1,,,
848084,60,16:38:41,2015-11-14,::1,,,
876135,60,17:52:12,2015-11-14,218.102.34.80,,,
923462,0,23:08:05,2015-11-13,::1,,,
1223468,0,13:55:24,2015-11-12,202.40.211.116,,,
1493531,0,18:20:37,2015-11-14,::1,,,
1693116,8677,20:21:00,2015-11-13,::1,,,
1818543,60,17:14:12,2015-11-14,::1,,,
1825867,0,20:13:49,2015-11-13,::1,,,
1890505,0,22:47:12,2015-11-13,203.210.6.87,,,
1918030,0,18:47:56,2015-11-14,::1,,,
1988526,0,21:51:04,2015-11-14,::1,"Hong Kong",22.283,114.15
1989513,0,11:59:08,2015-11-12,202.40.211.116,,,
2051392,0,18:54:22,2015-11-14,::1,"Hong Kong",22.25,114.167
2129293,0,21:48:45,2015-11-11,218.103.205.162,,,
2158509,8677,20:20:58,2015-11-13,::1,,,
2690579,0,20:12:22,2015-11-10,219.77.83.110,,,
2713013,0,17:40:07,2015-11-14,::1,,,
2923279,0,18:33:14,2015-11-14,::1,,,
2954102,0,18:20:37,2015-11-14,::1,,,
3076477,60,16:38:27,2015-11-14,::1,,,
3180542,0,18:20:39,2015-11-14,::1,,,
3537293,0,21:49:59,2015-11-14,::1,"Hong Kong",22.283,114.15
3790894,0,21:38:40,2015-11-14,::1,"Hong Kong",22.283,114.15
4068909,0,21:49:59,2015-11-14,::1,"Hong Kong",22.283,114.15
4258423,0,18:20:29,2015-11-14,::1,,,
4436035,0,18:47:39,2015-11-14,::1,,,
4592285,60,15:19:29,2015-11-14,::1,,,
4644775,0,18:50:07,2015-11-14,::1,"Hong Kong",22.25,114.167
4964571,0,20:12:19,2015-11-10,219.77.83.110,,,
5083618,0,21:38:41,2015-11-14,::1,"Hong Kong",22.283,114.15
5189209,0,18:31:59,2015-11-14,::1,,,
5214233,0,18:20:40,2015-11-14,::1,,,
5247192,0,16:47:56,2015-11-16,::1,"Hong Kong",22.25,114.167
5283203,0,17:12:33,2015-11-14,::1,,,
5299377,0,23:08:02,2015-11-13,::1,,,
5401611,0,18:32:51,2015-11-14,::1,,,
5593567,0,16:27:04,2015-11-16,::1,"Hong Kong",22.25,114.167
5649719,0,18:18:29,2015-11-14,::1,,,
5999145,0,18:53:35,2015-11-14,::1,"Hong Kong",22.25,114.167
6045227,0,18:50:06,2015-11-14,::1,"Hong Kong",22.25,114.167
6177368,0,16:11:30,2015-11-16,::1,"Hong Kong",22.25,114.167
6788025,0,16:12:05,2015-11-16,::1,"Hong Kong",22.25,114.167
6922912,0,18:51:12,2015-11-14,::1,"Hong Kong",22.25,114.167
6943359,0,16:26:24,2015-11-16,::1,"Hong Kong",22.25,114.167
7391662,0,16:10:42,2015-11-16,::1,"Hong Kong",22.25,114.167
7516174,0,18:52:59,2015-11-14,::1,"Hong Kong",22.25,114.167
8611755,0,16:12:07,2015-11-16,::1,"Hong Kong",22.25,114.167
9515380,60,21:22:20,2015-11-14,::1,"Hong Kong",22.283,114.15
9556579,0,21:22:44,2015-11-14,::1,"Hong Kong",22.283,114.15
